actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_reg/max,test/rwd_metrics/act_reg/mean,test/rwd_metrics/act_reg/min,test/rwd_metrics/act_reg/size,test/rwd_metrics/act_reg/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/distance/max,test/rwd_metrics/distance/mean,test/rwd_metrics/distance/min,test/rwd_metrics/distance/size,test/rwd_metrics/distance/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/lose/max,test/rwd_metrics/lose/mean,test/rwd_metrics/lose/min,test/rwd_metrics/lose/size,test/rwd_metrics/lose/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/vel_reward/max,test/rwd_metrics/vel_reward/mean,test/rwd_metrics/vel_reward/min,test/rwd_metrics/vel_reward/size,test/rwd_metrics/vel_reward/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
None,None,None,None,None,None,None,None,None,None,None,None,None,1.0,-0.017272992,-1.0,1210,0.97492754,0.418600080650065,0.3887118254412167,0.35305342904510983,10,0.020914066386967085,165,121.0,81,10,27.129319932501073,11049.12790298462,7941.914366340638,5058.71858215332,10,2015.075212853449,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-81.89750921135678,-230.01796709483378,-471.05108534636264,10,119.71399121110697,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,11451.80209065277,8271.93232437169,5426.009969860197,10,2063.332639141545,0.012345679012345678,0.00870031779186963,0.006060606060606061,10,0.001977112240651182,1.0,-0.084049486,-1.0,4082,0.9920056,106,19.130155380778824,6,10426,8.770921272050648,6889.07120513916,1380.5525089355524,325.50732803344727,10426,646.4831717312159,10426.0,148.7628936767578,200018.0,1.0,148.7628936767578,200018.0,1344.542278362861,4082.0
0.36886683,-0.011199349,13.937057,-0.017176243,0.04070869,0.018291205,4.639668,193.33824,193.29396,7.181707,2310.2495,1333988.4,1960.2673,1.0,-0.0017258666,-1.0,1033,0.9838511,0.42293925240309294,0.40201358754707306,0.3831097455210246,10,0.014381134838509635,166,103.3,80,10,23.207972767995056,10109.112407684326,6604.095801544189,4985.367259979248,10,1322.872715863794,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-46.57493887873148,-186.6520025793335,-398.24546864961076,10,119.21815849453745,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,10317.712320750687,6890.747799454579,5483.612729435479,10,1304.5448816447183,0.0125,0.010059847526799299,0.006024096385542169,10,0.0017403847369772154,7.005818,-0.02166186,-5.920493,4082,1.3173002,234,101.21926229508196,11,1952,27.892524225184655,14619.158573150635,6819.971492062338,688.9512176513672,1952,1654.4693456601522,12378.0,213.63803791999817,200018.0,2.0,362.400931596756,400036.0,936.2471306486229,8164.0
0.12562954,-0.074135475,21.296467,-0.017366763,0.08418583,0.01907048,10.722042,196.15334,196.05385,18.42913,2317.2605,30662.488,2096.822,1.0,-0.018511476,-1.0,1087,0.97742164,0.4203224384488058,0.39029564329187394,0.368936538919182,10,0.016959704842545553,142,108.7,82,10,18.989734068701434,8649.315271377563,6860.101085090637,5354.51424407959,10,1109.6617585739787,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-35.953137274287315,-251.56857334705097,-627.5409619439516,10,165.67574088030503,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9376.856265097833,7211.669655725438,5734.464405187732,10,1218.6275818875786,0.012195121951219513,0.009479742774280278,0.007042253521126761,10,0.0016239636800901211,5.9312763,-0.01989574,-6.174448,4082,1.3214675,218,107.11997857525442,25,1867,27.17101630108883,13827.23042678833,7208.811762033329,1913.6797637939453,1867,1587.746880935409,14245.0,222.33745193481445,200018.0,3.0,584.7383835315704,600054.0,899.6145195486088,12246.0
0.16168277,-0.14371808,27.393831,-0.015062256,0.15665269,0.017253762,15.206084,197.2047,197.08492,29.292519,2414.046,20354.941,2263.945,1.0,-0.02239245,-1.0,1048,0.98084813,0.40482592661821065,0.39228286846648097,0.38172325530197393,10,0.008187642253661266,123,104.8,87,10,14.204224723651762,7972.232734680176,6622.9233123779295,5430.043426513672,10,907.9792772786784,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-58.90826019574035,-184.9720844046544,-362.345464693227,10,84.0769580740845,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,8162.070770914958,6907.895399567931,5742.4955840367165,10,902.0831950969416,0.011494252873563218,0.00972236675070869,0.008130081300813009,10,0.0013355874615957103,6.339233,-0.022754291,-6.2600026,4082,1.3230605,268,108.73456121343445,33,1846,28.142147451121467,16606.571668624878,7299.28329510136,2405.7882194519043,1846,1636.0536960353925,16091.0,232.16388130187988,200018.0,4.0,816.9022648334503,800072.0,861.537974289459,16328.0
0.19978066,-0.07534285,33.17534,-0.013095798,0.0913253,0.015749825,15.708701,197.62251,197.57474,40.276573,2475.7683,16590.842,2359.1382,1.0,-0.008627655,-1.0,1171,0.980962,0.4313712879941596,0.39552999018133106,0.37892216998038636,10,0.015704603264479883,172,117.1,88,10,25.16525382347653,10397.937725067139,7521.4318176269535,6026.400539398193,10,1320.1020703496213,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-44.59358773836792,-212.93309610916967,-382.68876011743293,10,92.32921848240139,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,10773.405537575982,7834.364914115545,6255.328098454618,10,1378.8811703771,0.011363636363636364,0.0088998492091933,0.005813953488372093,10,0.0017079494670073322,5.9301977,-0.022591038,-6.0755196,4082,1.3242681,249,108.17605633802818,40,1846,28.877686746254636,15425.034666061401,7291.891159051418,2979.208915710449,1846,1685.2157246097106,17937.0,233.47340273857117,200018.0,5.0,1050.3756675720215,1000090.0,856.7057217389664,20410.0
0.23298447,-0.16510083,38.624138,-0.014814142,0.18373959,0.017904077,15.781921,198.54132,198.42229,50.641273,2560.2156,11457.228,2502.967,1.0,-0.017643163,-1.0,1132,0.98070943,0.4200455138954514,0.3900719504073037,0.359328813960978,10,0.02216697726084596,171,113.2,75,10,32.189439261969135,11409.702701568604,7372.673825454712,5372.95756149292,10,1895.145403790462,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-22.176220105054455,-178.2893952695561,-337.6564472369714,10,107.10898504857353,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,11764.821702318543,7650.963212538058,5495.133745844545,10,1965.4560196808834,0.013333333333333334,0.009549799102047308,0.005847953216374269,10,0.002568654533618313,6.15076,-0.021582128,-5.8556423,4082,1.3241616,245,109.20808301474604,41,1831,28.188874173734263,15403.186729431152,7383.398952049743,2976.2630882263184,1831,1636.8545843750453,19768.0,232.1968069076538,200018.0,6.0,1282.5724744796753,1200108.0,861.4158078390305,24492.0
0.24699625,-0.13994697,42.391285,-0.0178949,0.15970665,0.0212862,15.845347,199.29752,199.20624,57.59626,2631.7258,7144.393,2622.7563,1.0,-0.03608638,-1.0,971,0.973303,0.3962578589580744,0.3792282447057517,0.3519671028342577,10,0.012496423940892619,126,97.1,70,10,15.009663553857562,8160.213325500488,6280.219124221801,4846.318157196045,10,931.9521535153248,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-70.31948235165794,-194.82899945221624,-331.8054776043124,10,74.62182093188531,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,8431.142849610444,6575.048119755935,5166.108619538663,10,902.1398417392254,0.014285714285714285,0.010559613569984173,0.007936507936507936,10,0.0017222399008126241,6.4370427,-0.023525681,-6.2008553,4082,1.3251553,244,109.14254505734571,31,1831,29.11803692102836,15528.176525115967,7401.675668004951,2185.7099056243896,1831,1699.0957227050963,21599.0,229.35832524299622,200018.0,7.0,1511.9307997226715,1400126.0,872.0764759164016,28574.0
0.2548917,-0.086471505,45.783085,-0.018883916,0.10686285,0.022546563,15.855893,199.37383,199.32747,59.816013,2649.9917,6871.497,2642.0369,1.0,-0.011401939,-1.0,1101,0.9823368,0.42553105506861033,0.3970661383926525,0.37215057364378024,10,0.015122223286331381,139,110.1,91,10,14.180620578804017,8549.506748199463,6896.903435134887,5869.874561309814,10,814.8512694345088,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-62.173904948934215,-173.29355942110857,-301.66477898941025,10,72.8036592930984,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,8928.615987601654,7170.196990261742,6191.209594927756,10,810.2193567143784,0.01098901098901099,0.00922886201936518,0.007194244604316547,10,0.0011447521740355568,6.3538423,-0.02226385,-5.823898,4082,1.3255919,260,110.43140495867769,50,1815,28.59450726423684,15758.067241668701,7476.806337379687,3566.6148948669434,1815,1651.7233489950463,23414.0,234.80287837982178,200018.0,8.0,1746.7336781024933,1600144.0,851.8549746074532,32656.0
0.27265286,-0.07614341,48.754524,-0.012118228,0.09795564,0.016018588,15.855013,199.42769,199.40282,58.52581,2668.068,6814.5483,2660.3552,1.0,-0.011288131,-1.0,1113,0.9804533,0.4243850208622092,0.3955390833344029,0.3730252418648663,10,0.016695502081728552,143,111.3,78,10,18.54211422680812,9985.853733062744,7264.185476112366,5000.375812530518,10,1358.3725410381512,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-39.99233755608446,-147.8792370001151,-321.5906309789416,10,79.68617495903227,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,10202.573025805814,7512.064715639886,5154.458280788846,10,1352.9626198813248,0.01282051282051282,0.009262349192188876,0.006993006993006993,10,0.001694188819897383,6.340687,-0.020229561,-6.121667,4082,1.3254325,250,111.3428093645485,46,1794,28.787502051788348,15932.795631408691,7527.660844306882,3297.363983154297,1794,1664.6381282658263,25208.0,233.20459389686584,200018.0,9.0,1979.9382719993591,1800162.0,857.6932240385345,36738.0
0.27340832,-0.06569208,52.955086,-0.019496094,0.087564744,0.023732504,15.857156,199.46654,199.43182,57.63821,2681.378,6714.7993,2673.8704,1.0,-0.0020804396,-1.0,1101,0.98065394,0.4451688518905778,0.3940408094874045,0.35098950986181954,10,0.026104076263680307,204,110.1,73,10,37.972226692676315,12306.578071594238,7020.759698104858,5127.22790145874,10,2145.489486533828,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-36.2924143070992,-227.0970264523015,-433.3531398466828,10,108.50172349560515,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,12616.561524465877,7347.856720113702,5434.941924413434,10,2146.5708528836512,0.0136986301369863,0.00991662221602131,0.004901960784313725,10,0.00253142954761856,5.838668,-0.02091252,-6.4615903,4082,1.3248427,248,111.55443886097153,39,1791,29.9631491723675,15584.315311431885,7547.345555664906,2961.198118209839,1791,1738.1516309206497,26999.0,231.4537353515625,200018.0,10.0,2211.3920073509216,2000180.0,864.1813436114403,40820.0
