actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/cyclic_hip/max,test/rwd_metrics/cyclic_hip/mean,test/rwd_metrics/cyclic_hip/min,test/rwd_metrics/cyclic_hip/size,test/rwd_metrics/cyclic_hip/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/joint_angle_rew/max,test/rwd_metrics/joint_angle_rew/mean,test/rwd_metrics/joint_angle_rew/min,test/rwd_metrics/joint_angle_rew/size,test/rwd_metrics/joint_angle_rew/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/vel_reward/max,test/rwd_metrics/vel_reward/mean,test/rwd_metrics/vel_reward/min,test/rwd_metrics/vel_reward/size,test/rwd_metrics/vel_reward/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
None,None,None,None,None,None,None,None,None,None,None,None,None,0.9999739,-0.08365925,-0.99999905,111,0.67678225,0.1881156324589925,0.17048513449686598,0.14453090001823463,10,0.011963586885682472,16,11.1,7,10,2.3853720883753127,-122.65729048848152,-169.25600936561824,-224.25381743907928,10,28.142404704327284,0.0,0.0,0.0,10,0.0,-92.90552037965598,-175.22668277651505,-275.0983094067618,10,49.744930935745955,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,22.72413253918125,15.35629054452652,9.063963426721772,10,3.90055019499426,7.729952832252632,5.849419007905422,3.606092608782025,10,1.0137770712636043,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,122.18431922817899,84.76496291226735,53.45431258214295,10,18.216016871640083,0.14285714285714285,0.09445568320568319,0.0625,10,0.02117677539220024,1.0,-0.04941285,-1.0,4082,0.9944066,23,4.268319241609019,1,46836,2.3934151492690896,-61.64725041389465,-127.86860436688154,-83861.2962474823,46836,393.9662680974456,46836.0,144.73396587371826,200018.0,1.0,144.73396587371826,200018.0,1381.9700081632363,4082.0
1.2242962,-9535.162,12.179791,-0.2697825,9535.258,0.27073255,4.5734897,11281.864,120.97939,5.1960807,-102.20098,79224.49,-110.96301,1.0,0.0603171,-1.0,49,0.5745532,0.2051600400081183,0.09740412237871623,0.008795581774219097,10,0.0649798685897425,12,4.9,2,10,3.448187929913334,-96.3711553812027,-100.10079035162926,-110.18898472934961,10,4.077903126199959,0.0,0.0,0.0,10,0.0,-20.88192071187775,-50.763425532762824,-127.02344226209917,10,36.19511307435184,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,16.874704965612462,7.375175175492606,2.696935548581262,10,5.216487232004183,8.31947867365709,5.868238617616938,3.8391550819110396,10,1.0814669714917713,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,91.64027681259286,37.41922074550874,15.272787908360108,10,26.332845488940485,0.5,0.2972222222222222,0.08333333333333333,10,0.1427518350836622,6.0956116,0.01870304,-6.077864,4082,0.98337364,28,6.034612831190778,1,33138,3.378747750209486,-60.81844541430473,-116.60457586523569,-49489.270527750254,33138,271.71765651731425,79974.0,258.3344385623932,200018.0,2.0,403.06840443611145,400036.0,774.2599132855895,8164.0
1.2369045,-6.3555098,15.06457,-0.087626085,6.451988,0.088801116,10.340995,122.820984,120.00039,6.4101887,-104.64144,32433.902,-109.396034,1.0,0.100628555,-1.0,77,0.63131565,0.22159473610744787,0.2044932037617515,0.18075431643709908,10,0.01285913678146081,11,7.7,5,10,2.5709920264364885,-75.54809609055519,-86.7970396451652,-106.78417843580246,10,8.387393888990779,0.0,0.0,0.0,10,0.0,-35.850024044083845,-64.72409052192077,-115.46535129143743,10,28.45205629379211,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,17.197630553664126,11.550051812924199,6.829521733844932,10,3.968200568624751,10.28651908582254,7.5778876386335465,5.899447219918465,10,1.3302527937457806,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,83.99883319286599,58.799110067482424,38.181443969380524,10,19.632321259663247,0.2,0.14595959595959598,0.09090909090909091,10,0.04859047837084254,5.9381866,0.086002655,-5.3455067,4082,0.95968455,21,4.5849584087628035,1,43639,2.7301832472756766,-45.76392042636871,-100.72611846418002,-580.1125462055206,43639,9.866719263899999,123613.0,226.08584809303284,200018.0,3.0,629.1542525291443,600054.0,884.6993373848588,12246.0
1.4126921,-6.4048853,18.799997,-0.2033875,6.5150747,0.20485389,14.048103,124.36152,120.28985,6.450603,-100.41876,46143.688,-106.26923,1.0,0.12508516,-1.0,25,0.640836,0.15100235536105042,0.11947118328461134,0.0901156863048424,10,0.026872408251366522,3,2.5,2,10,0.5,-88.43117582798004,-91.94953711032868,-94.9690123796463,10,2.8614022280266327,0.0,0.0,0.0,10,0.0,-15.761376049372188,-18.18314338493224,-21.99291489366789,10,2.321083998694916,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,4.686201307581029,3.9116033404239197,3.098110371799743,10,0.6969634121039457,4.17079539838169,3.230807481033389,2.3582948607144436,10,0.5766281514866632,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,22.90949693944694,19.09119559820963,15.272913452760202,10,3.818204671381059,0.5,0.4166666666666667,0.3333333333333333,10,0.08333333333333334,5.715584,0.102010876,-5.685518,4082,0.98421687,18,4.085907493666748,1,48948,2.3041658651256425,-47.80919849872589,-94.47460948577894,-10375.912471652031,48948,49.62160374377816,172561.0,234.22316122055054,200018.0,4.0,863.3774137496948,800072.0,853.9633696244836,16328.0
1.7284598,-11.016558,23.496601,-0.22515701,11.15138,0.22698975,14.433657,129.81871,120.69651,6.261271,-98.41601,21473.95,-102.53387,1.0,0.11021399,-1.0,23,0.65573347,0.15774999146663762,0.11243506509446881,0.08719827242228638,10,0.026190818583335405,3,2.3,2,10,0.45825756949558405,-89.81607222557068,-94.51424226462841,-96.76784750819206,10,2.504486158669251,0.0,0.0,0.0,10,0.0,-15.816275223101911,-17.64051907583447,-21.478221093466463,10,2.069792863717124,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,5.146371486135444,3.8153342235967243,3.098538278944467,10,0.813612842552144,2.2382303721349097,1.747115340430082,1.4893113057057357,10,0.20900054301103121,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,22.909208643531244,17.56382775224486,15.272902127890767,10,3.499341231723861,0.5,0.45,0.3333333333333333,10,0.07637626158259735,5.684417,0.10240363,-5.589296,4082,1.0101004,20,4.128281869220608,1,48448,2.2214527637517136,-34.92310929298401,-91.33761146230225,-310.59148655831814,48448,7.839229865290108,221009.0,252.9838044643402,200018.0,5.0,1116.361218214035,1000090.0,790.6355919641247,20410.0
1.7980759,-5.508501,27.44991,-0.25202298,5.648751,0.2541641,14.489041,123.048035,120.48554,5.439496,-95.85239,8600.155,-98.16373,1.0,0.10964171,-1.0,28,0.70315903,0.1696242510553417,0.150204870442805,0.10650169491533601,10,0.019300283321057553,3,2.8,2,10,0.39999999999999997,-87.65516448020935,-90.96198354363442,-97.05893787741661,10,3.058011944712485,0.0,0.0,0.0,10,0.0,-16.155490078604977,-18.690961268574277,-20.277409077315664,10,1.4043335225280802,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,5.970849840392239,5.339101914047733,3.23508301693636,10,0.9986105444514265,1.172460089073101,1.0077675339452141,0.8994688329582264,10,0.08372504570254814,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,22.909494565222552,21.382107619485822,15.272985527210313,10,3.0545508888261836,0.5,0.36666666666666664,0.3333333333333333,10,0.06666666666666668,5.79942,0.09202936,-5.704664,4082,1.0225555,21,4.279022011166014,1,46749,2.153435629177951,-16.273509860038757,-88.5746604745691,-162.56156706809998,46749,8.458138078300417,267758.0,254.09336066246033,200018.0,6.0,1370.4545788764954,1200108.0,787.1831026144187,24492.0
1.8372546,-9.600071,31.986908,-0.3749422,9.743377,0.37743714,14.57883,125.20265,120.427246,4.5932045,-92.23818,3856.3237,-93.11444,1.0,0.059245322,-1.0,62,0.7116024,0.2349102978296753,0.22276753185013815,0.20159091278101418,10,0.009052518644966454,7,6.2,5,10,0.6,-64.10222151130438,-71.42480136603118,-79.11715429276228,10,4.547317082670729,0.0,0.0,0.0,10,0.0,-27.5225592433908,-30.983684520896684,-32.58854360322635,10,1.2993813877075566,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,12.01925601692766,10.745580784813038,8.894608806569119,10,0.9997204671692728,1.7920529405171166,1.4666744750259562,1.26118485389855,10,0.178162882611951,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,53.45600649647399,47.346628213920795,38.18260383945248,10,4.5819682535860755,0.2,0.16285714285714287,0.14285714285714285,10,0.016329931618554526,5.960347,0.07006337,-6.198876,4082,1.0398871,20,4.7363946383744615,1,42226,2.0731359097630864,1.1338024139404297,-85.46448444412123,-142.85441994667053,42226,9.060929423883419,309984.0,246.9503870010376,200018.0,7.0,1617.404965877533,1400126.0,809.9521625740947,28574.0
1.8468161,-87.44462,35.878067,-0.23801985,87.58867,0.24081834,14.692516,173.38737,120.3023,4.1182866,-89.32246,279.54614,-89.52867,1.0,0.075536214,-1.0,50,0.75469106,0.2434976985428705,0.24058720671271158,0.2371700243466477,10,0.0020578720521758354,5,5.0,5,10,0.0,-78.70277577638626,-79.93156040757894,-81.85709019005299,10,0.8576507771576914,0.0,0.0,0.0,10,0.0,-25.88310909596138,-27.448562796505353,-29.59795960211623,10,0.9755994908058763,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,8.203515475273882,7.976163294923536,7.726271231117208,10,0.14406889352859814,1.561996710367967,1.358190629315889,1.2690428602688468,10,0.09609434634236917,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,38.18284453682014,38.18264774043071,38.18255485777734,10,8.536686639189067e-05,0.2,0.2,0.2,10,0.0,5.7674174,0.052919142,-5.809435,4082,1.0521016,22,5.415455013131887,1,36933,1.993105778316186,-35.2120600938797,-82.62325493545531,-155.74158990383148,36933,9.207840961566186,346917.0,249.96182084083557,200018.0,8.0,1867.3667867183685,1600144.0,800.1942029673502,32656.0
1.7501768,-121.61496,40.382782,-0.35234332,121.75149,0.35549316,14.796184,190.72397,119.903496,4.168808,-86.92403,230.36235,-86.95774,1.0,0.025345793,-1.0,75,0.73532,0.24259863188284003,0.23771634044482554,0.22767365745593868,10,0.005743474642764166,9,7.5,6,10,1.02469507659596,-64.46346551179886,-68.38919830322266,-75.14479923248291,10,4.2442505098873875,0.0,0.0,0.0,10,0.0,-31.043772567974738,-38.94964348993783,-49.019567997554084,10,5.407451786013264,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,13.84277547624642,11.682245382658559,9.235709388978435,10,1.5336140551723145,1.9720847752250172,1.6040163025521863,1.2964626267943204,10,0.21137281927437832,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,68.72906983142109,57.27418444206061,45.819367657785804,10,7.8251098009712665,0.16666666666666666,0.13611111111111113,0.1111111111111111,10,0.020412414523193145,5.9351635,0.04029374,-5.6248336,4082,1.0563886,21,5.996492595479345,1,33358,2.0107227219759256,-23.15317130088806,-79.80456113903796,-165.70020866394043,33358,9.696356823464495,380275.0,237.53666758537292,200018.0,9.0,2104.9034543037415,1800162.0,842.0510485106963,36738.0
1.8168447,-3.6836693,45.495888,-0.24628659,3.8253837,0.24983528,14.892864,119.74929,118.53908,3.8844798,-85.079636,52.79172,-84.75046,1.0,0.02356193,-1.0,61,0.72476774,0.23366123949935538,0.23139061012521922,0.22494149037438954,10,0.002360216301666643,7,6.1,6,10,0.3,-69.15368211269379,-74.80408571362496,-76.48235422372818,10,2.0039011552803148,0.0,0.0,0.0,10,0.0,-31.70360105625069,-33.34198247840524,-36.061356869498546,10,1.232396215417739,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,12.151452463346525,10.625791305988425,10.151121020459444,10,0.5578884322463782,1.696929384667869,1.3290151256724638,1.1271870829114181,10,0.17531067561080832,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,53.45584294505946,46.58308900369216,45.819386301386764,10,2.2909179807161335,0.16666666666666666,0.16428571428571428,0.14285714285714285,10,0.007142857142857143,5.76498,0.035602365,-6.187509,4082,1.0600787,28,6.578237557975067,1,30401,2.1166141183707814,1.9350901246070862,-77.41408999614433,-184.3854035139084,30401,10.009359826121033,410676.0,210.84261679649353,200018.0,10.0,2315.746071100235,2000180.0,948.660204654254,40820.0
